id,address,price,area_sqm,rooms,is_new_building,has_balcony,no_commission,has_terrace,is_furnished,is_social_housing,district
682dda1e0cae93edc1cc3e31,"Dresdnerstraße 90, 1200 Wien",1766.0,46.0,2.0,0,1,1,1,1,0,1200
66aa1bdb6373bb3db6514f48,"Vorgartenstraße 204, 1020 Wien",1100.0,36.31,2.0,0,1,1,1,0,0,1020
66aa1b8168c22ad295861080,"Vorgartenstraße 204, 1020 Wien",770.0,23.04,1.0,0,1,1,1,0,0,1020
68873ae41a51e53749e47c2e,1190 Wien,1890.0,65.0,1.0,0,1,1,0,1,0,1190
68873ae11a51e53749e47c0a,1010 Wien,3404.45,121.0,4.0,0,0,1,1,1,0,1010
68873ae20f4819641712194d,1010 Wien,4620.0,155.0,3.5,0,0,1,0,1,0,1010
68873ae21a51e53749e47c0d,1010 Wien,3624.45,121.0,4.0,0,0,1,0,1,0,1010
68bff72fe034847b94877da1,1190 Wien,1686.79,80.0,3.0,0,0,1,1,0,0,1190
68873ae21a51e53749e47c11,1190 Wien,4479.2,246.0,5.0,0,0,1,1,0,0,1190
68bb0edf84419075d43318e5,"Hirschstettner Straße 61, 1220 Wien",1174.63,65.11,3.0,0,0,1,1,0,0,1220
68a419783df612aca05578ff,1220 Wien,1060.0,46.18,2.0,0,0,1,0,0,0,1220
68a3c76c410c5cdeefbe0847,1050 Wien,991.51,68.93,2.0,0,0,1,0,0,0,1050
68a369270062370414320903,1200 Wien,949.0,44.39,2.0,0,1,1,1,0,0,1200
67c85c10b08d1de90a9db33f,1220 Wien,1599.0,64.9,3.0,0,0,1,1,0,0,1220
68a4b03cf974a446821ca427,"1050 Wien, Margareten",848.6,46.1,1.5,0,0,1,0,0,0,1050
68a3490b006237041431ed3e,1120 Wien,1055.0,50.0,2.0,0,0,1,0,0,0,1120
68a3490b006237041431ed41,1070 Wien,1720.0,70.0,3.0,0,1,1,0,0,0,1070
68bfd022a3905d9c4120bd38,1140 Wien,800.53,34.22,1.0,0,0,1,0,0,0,1140
68a33c7e006237041431e246,"1170 Wien, Hernals / Wien 17., Hernals",2479.63,118.53,4.0,0,0,1,0,0,0,1170
68b295f02344e7c62c9b62f8,1160 Wien,1249.99,50.0,2.0,0,1,1,0,0,0,1160
687bac70e2aca62300505aa5,1190 Wien,2248.99,118.0,4.0,0,1,1,0,0,0,1190
67ed33e1e6628499ebae0992,"1190 Wien, Döbling",1285.0,56.05,2.0,0,0,1,0,0,0,1190
68a335226245c9c7ab3d4ed6,1190 Wien,2375.0,65.0,2.0,0,0,1,0,1,0,1190
68a33521173019e0826774b8,1190 Wien,2813.0,95.0,2.0,0,0,1,0,1,0,1190
6602c508a5de1b667bd8a0ec,"Schnirchgasse 13, 1030 Wien",1609.0,43.49,1.0,0,1,1,1,1,0,1030
6602c4e7a7f22c302f6c4675,"Schnirchgasse 13, 1030 Wien",789.0,21.49,1.0,0,0,1,1,1,0,1030
6602c4dca7f22c302f6c466c,"Schnirchgasse 13, 1030 Wien",829.0,21.26,1.0,0,1,1,1,1,0,1030
6602c4cba7f22c302f6c464f,"Schnirchgasse 13, 1030 Wien",729.0,21.45,1.0,0,0,1,1,1,0,1030
6602c4c3a7f22c302f6c4625,"Schnirchgasse 13, 1030 Wien",1359.0,42.25,1.0,0,1,1,1,1,0,1030
6602c4b7a7f22c302f6c4614,"Schnirchgasse 13, 1030 Wien",1709.0,46.41,1.0,0,1,1,1,1,0,1030
687b8b11e2aca62300504487,"1090 Wien,Alsergrund",3232.72,156.84,4.0,0,1,1,0,0,0,1090
68a316aa173019e082674c42,1110 Wien,1790.02,118.34,4.0,0,0,1,0,0,0,1110
68a316aa173019e082674c3f,1230 Wien,701.49,43.0,1.0,0,1,1,0,0,0,1230
68a312da173019e08267454d,"Vorgartenstraße 204, 1020 Wien",750.0,19.33,1.0,0,0,1,1,0,0,1020
68a31262173019e082673c04,"Erich-Sokol-Gasse, 1100 Wien",1849.15,95.83,4.0,0,1,1,1,0,0,1100
68a30dacd97944b9418e9579,"Pazmanitengasse, 1020 Wien",1799.0,76.47,2.0,0,0,1,0,0,0,1020
67a4733cbc14ced889263861,"Sonnleithnergasse, 1100 Wien",943.75,53.8,2.0,0,0,1,0,0,0,1100
68a300e7173019e0826720e4,"1130 Wien,Hietzing",890.0,38.0,2.0,0,0,1,0,0,0,1130
6853dae6d1b3deb5f8a00554," Sieveringer Str. 94, 1190 Wien",2505.0,150.0,4.0,0,1,1,0,1,0,1190
6853d24ed1b3deb5f89fffb3,"Wehlistraße  291, 1020 Wien",1765.0,53.0,2.0,0,0,1,0,1,0,1020
68a2d65cd97944b9418e4b06,1210 Wien,1050.01,48.93,2.0,0,1,0,0,0,0,1210
68a2c9380feb394546326f46,1220 Wien,1110.0,45.03,1.5,0,0,1,0,0,0,1220
68a247cc0feb39454630eafc,"Bertha-von-Suttner-Gasse 12, 1220 Wien",999.0,50.1,2.0,0,1,1,0,0,0,1220
68a247cc14b48b707555b64f,"Bertha-von-Suttner-Gasse 12, 1220 Wien",949.0,45.99,2.0,0,1,1,0,0,0,1220
68a247cc0feb39454630eaff,"Bertha-von-Suttner-Gasse 12, 1220 Wien",949.0,45.78,2.0,0,1,1,0,0,0,1220
68a247cc14b48b707555b655,"Bertha-von-Suttner-Gasse 12, 1220 Wien",949.0,45.78,2.0,0,1,1,0,0,0,1220
68a2254614b48b707555a7de,1150 Wien,679.0,36.0,1.0,0,0,1,0,0,0,1150
68a222c314b48b707555a723,"Schrottensteingasse 6, 1220 Wien",1549.0,74.3,3.0,0,1,1,1,0,0,1220
68a21eae14b48b707555a559,1200 Wien,949.0,44.25,2.0,0,0,1,1,0,0,1200
687de4541e1c6519277091d6,"Kaasgrabengasse, 1190 Wien",2670.0,99.01,4.0,0,1,1,0,0,0,1190
6852de40be66ff3200c4ef64,1030 Wien,3279.52,155.1,5.0,0,0,1,0,0,0,1030
68a1f7920feb39454630c4f7,1220 Wien,1060.0,46.0,2.0,0,0,1,0,0,0,1220
687a5628e2aca623004e5af5,1120 Wien,1080.0,32.0,1.0,0,0,1,0,1,0,1120
68a1d4ee0feb39454630b7c4,"Stranzenberggasse 3, 1130 Wien",1350.0,76.0,3.0,0,1,1,1,0,0,1130
68779a931b7dd9e5fe6e1266,"Hohlweggasse 9, 1030 Wien,Landstraße",2290.0,87.85,2.5,0,1,1,1,0,0,1030
6852ad52d1b3deb5f89b06aa,"Cranachstraße, 1130 Wien",1286.57,78.0,2.0,0,0,1,0,0,0,1130
687a3779e2aca623004e43e8,"Lydia-Sicher-Gasse 7, 1220 Wien",2505.0,132.0,4.0,0,0,1,1,1,0,1220
